"","newCol","tsDataF.NO2"
"1","01/01/2021 01",36
"2","01/01/2021 02",38
"3","01/01/2021 03",40
"4","01/01/2021 04",38
"5","01/01/2021 05",35
"6","01/01/2021 06",31
"7","01/01/2021 07",28
"8","01/01/2021 08",27
"9","01/01/2021 09",23
"10","01/01/2021 10",15
"11","01/01/2021 11",12
"12","01/01/2021 12",12
"13","01/01/2021 13",12
"14","01/01/2021 14",8
"15","01/01/2021 15",7
"16","01/01/2021 16",6
"17","01/01/2021 17",4
"18","01/01/2021 18",5
"19","01/01/2021 19",16
"20","01/01/2021 20",25
"21","01/01/2021 21",34
"22","01/01/2021 22",38
"23","01/01/2021 23",48
"24","01/02/2021 04",9
"25","01/02/2021 05",11
"26","01/02/2021 06",12
"27","01/02/2021 07",17
"28","01/02/2021 08",16
"29","01/02/2021 09",14
"30","01/02/2021 10",12
"31","01/02/2021 11",16
"32","01/02/2021 12",12
"33","01/02/2021 13",11
"34","01/02/2021 14",9
"35","01/02/2021 15",9
"36","01/02/2021 16",12
"37","01/02/2021 17",13
"38","01/02/2021 18",18
"39","01/02/2021 19",26
"40","01/02/2021 20",27
"41","01/02/2021 21",24
"42","01/02/2021 22",22
"43","01/02/2021 23",25
"44","01/02/2021 24",21
"45","01/03/2021 01",33
"46","01/03/2021 02",30
"47","01/03/2021 03",34
"48","01/03/2021 04",48
"49","01/03/2021 05",31
"50","01/03/2021 06",29
"51","01/03/2021 07",51.5047978621496
"52","01/03/2021 08",51.5047978621496
"53","01/03/2021 09",51.5047978621496
"54","01/03/2021 10",51.5047978621496
"55","01/03/2021 11",27
"56","01/03/2021 12",16
"57","01/03/2021 13",17
"58","01/03/2021 14",18
"59","01/03/2021 15",21
"60","01/03/2021 16",26
"61","01/03/2021 17",30
"62","01/03/2021 18",25
"63","01/03/2021 19",34
"64","01/03/2021 20",24
"65","01/03/2021 21",23
"66","01/03/2021 22",15
"67","01/03/2021 23",11
"68","01/03/2021 24",12
"69","01/04/2021 01",14
"70","01/04/2021 02",15
"71","01/04/2021 03",14
"72","01/04/2021 04",12
"73","01/04/2021 05",12
"74","01/04/2021 06",16
"75","01/04/2021 07",18
"76","01/04/2021 08",14
"77","01/04/2021 09",9
"78","01/04/2021 10",10
"79","01/04/2021 11",8
"80","01/04/2021 12",8
"81","01/04/2021 13",7
"82","01/04/2021 14",7
"83","01/04/2021 15",8
"84","01/04/2021 16",9
"85","01/04/2021 17",10
"86","01/04/2021 18",12
"87","01/04/2021 19",11
"88","01/04/2021 20",11
"89","01/04/2021 21",11
"90","01/04/2021 22",14
"91","01/04/2021 23",9
"92","01/04/2021 24",9
"93","01/05/2021 01",27
"94","01/05/2021 02",20
"95","01/05/2021 03",18
"96","01/05/2021 04",23
"97","01/05/2021 05",29
"98","01/05/2021 06",35
"99","01/05/2021 07",35
"100","01/05/2021 08",34
"101","01/05/2021 09",37
"102","01/05/2021 10",26
"103","01/05/2021 11",17
"104","01/05/2021 12",14
"105","01/05/2021 13",12
"106","01/05/2021 14",12
"107","01/05/2021 15",10
"108","01/05/2021 16",8
"109","01/05/2021 17",15
"110","01/05/2021 18",11
"111","01/05/2021 19",13
"112","01/05/2021 20",11
"113","01/05/2021 21",13
"114","01/05/2021 22",14
"115","01/05/2021 23",12
"116","01/06/2021 04",14
"117","01/06/2021 05",29
"118","01/06/2021 06",34
"119","01/06/2021 07",31
"120","01/06/2021 08",34
"121","01/06/2021 09",38
"122","01/06/2021 10",34
"123","01/06/2021 11",33
"124","01/06/2021 12",30
"125","01/06/2021 13",25
"126","01/06/2021 14",20
"127","01/06/2021 15",14
"128","01/06/2021 16",12
"129","01/06/2021 17",13
"130","01/06/2021 18",20
"131","01/06/2021 19",21
"132","01/06/2021 20",18
"133","01/06/2021 21",14
"134","01/06/2021 22",13
"135","01/06/2021 23",12
"136","01/06/2021 24",10
"137","01/08/2021 01",35
"138","01/08/2021 02",32
"139","01/08/2021 03",33
"140","01/08/2021 04",21
"141","01/08/2021 05",18
"142","01/08/2021 06",23
"143","01/08/2021 07",25
"144","01/08/2021 08",24
"145","01/08/2021 09",21
"146","01/08/2021 10",20
"147","01/08/2021 11",15
"148","01/08/2021 12",12
"149","01/08/2021 13",9
"150","01/08/2021 14",11
"151","01/08/2021 15",15
"152","01/08/2021 16",18
"153","01/08/2021 17",16
"154","01/08/2021 18",16
"155","01/08/2021 19",14
"156","01/08/2021 20",16
"157","01/08/2021 21",27
"158","01/08/2021 22",42
"159","01/08/2021 23",40
"160","01/08/2021 24",35
"161","01/09/2021 01",12
"162","01/09/2021 02",16
"163","01/09/2021 03",12
"164","01/09/2021 04",20
"165","01/09/2021 05",25
"166","01/09/2021 06",29
"167","01/09/2021 07",32
"168","01/09/2021 08",33
"169","01/09/2021 09",27
"170","01/09/2021 11",47
"171","01/09/2021 12",51.5047978621496
"172","01/09/2021 13",48
"173","01/09/2021 14",25
"174","01/09/2021 15",41
"175","01/09/2021 16",41
"176","01/09/2021 17",38
"177","01/09/2021 18",42
"178","01/09/2021 19",43
"179","01/09/2021 20",43
"180","01/09/2021 21",39
"181","01/09/2021 22",28
"182","01/09/2021 23",34
"183","01/09/2021 24",41
"184","01/10/2021 01",24
"185","01/10/2021 02",27
"186","01/10/2021 03",30
"187","01/10/2021 04",28
"188","01/10/2021 05",29
"189","01/10/2021 06",25
"190","01/10/2021 07",25
"191","01/10/2021 08",22
"192","01/10/2021 09",35
"193","01/10/2021 10",51
"194","01/10/2021 11",42
"195","01/10/2021 12",24
"196","01/10/2021 13",17
"197","01/10/2021 14",27
"198","01/10/2021 15",28
"199","01/10/2021 16",35
"200","01/10/2021 17",39
"201","01/10/2021 18",36
"202","01/10/2021 19",34
"203","01/10/2021 20",41
"204","01/10/2021 21",41
"205","01/10/2021 22",40
"206","01/10/2021 23",40
"207","01/10/2021 24",34
"208","01/11/2021 01",25
"209","01/11/2021 02",27
"210","01/11/2021 03",28
"211","01/11/2021 04",21
"212","01/11/2021 05",19
"213","01/11/2021 06",24
"214","01/11/2021 07",34
"215","01/11/2021 08",28
"216","01/11/2021 09",29
"217","01/11/2021 10",29
"218","01/11/2021 11",33
"219","01/11/2021 12",34
"220","01/11/2021 13",33
"221","01/11/2021 14",38
"222","01/11/2021 15",37
"223","01/11/2021 16",37
"224","01/11/2021 17",23
"225","01/11/2021 18",26
"226","01/11/2021 19",30
"227","01/11/2021 20",28
"228","01/11/2021 21",33
"229","01/11/2021 22",24
"230","01/11/2021 23",21
"231","01/11/2021 24",20
"232","01/12/2021 01",22
"233","01/12/2021 02",22
"234","01/12/2021 03",29
"235","01/12/2021 04",31
"236","01/12/2021 05",28
"237","01/12/2021 06",33
"238","01/12/2021 07",32
"239","01/12/2021 08",34
"240","01/12/2021 09",42
"241","01/12/2021 10",48
"242","01/12/2021 11",51.5047978621496
"243","01/12/2021 12",35
"244","01/12/2021 13",24
"245","01/12/2021 14",23
"246","01/12/2021 15",12
"247","01/12/2021 16",15
"248","01/12/2021 17",23
"249","01/12/2021 18",23
"250","01/12/2021 19",22
"251","01/12/2021 20",24
"252","01/12/2021 21",29
"253","01/12/2021 22",28
"254","01/12/2021 23",22
"255","01/12/2021 24",19
"256","02/01/2021 04",31
"257","02/01/2021 05",20
"258","02/01/2021 06",32
"259","02/01/2021 07",34
"260","02/01/2021 08",35
"261","02/01/2021 09",34
"262","02/01/2021 10",38
"263","02/01/2021 11",40
"264","02/01/2021 12",33
"265","02/01/2021 13",38
"266","02/01/2021 14",23
"267","02/01/2021 15",23
"268","02/01/2021 16",22
"269","02/01/2021 17",22
"270","02/01/2021 18",29
"271","02/01/2021 19",47
"272","02/01/2021 20",41
"273","02/01/2021 21",22
"274","02/01/2021 22",24
"275","02/01/2021 23",31
"276","02/01/2021 24",47
"277","02/02/2021 01",23
"278","02/02/2021 02",23
"279","02/02/2021 03",17
"280","02/02/2021 04",23
"281","02/02/2021 05",25
"282","02/02/2021 06",24
"283","02/02/2021 07",27
"284","02/02/2021 08",29
"285","02/02/2021 09",31
"286","02/02/2021 10",44
"287","02/02/2021 11",51.5047978621496
"288","02/02/2021 12",49
"289","02/02/2021 13",37
"290","02/02/2021 14",20
"291","02/02/2021 15",17
"292","02/02/2021 16",18
"293","02/02/2021 17",18
"294","02/02/2021 18",28
"295","02/02/2021 19",27
"296","02/02/2021 20",34
"297","02/02/2021 21",41
"298","02/02/2021 22",39
"299","02/02/2021 23",41
"300","02/02/2021 24",36
"301","02/03/2021 01",12
"302","02/03/2021 02",13
"303","02/03/2021 03",13
"304","02/03/2021 04",15
"305","02/03/2021 05",15
"306","02/03/2021 06",18
"307","02/03/2021 07",24
"308","02/03/2021 08",28
"309","02/03/2021 09",23
"310","02/03/2021 10",18
"311","02/03/2021 11",22
"312","02/03/2021 12",27
"313","02/03/2021 13",27
"314","02/03/2021 14",20
"315","02/03/2021 15",20
"316","02/03/2021 16",17
"317","02/03/2021 17",18
"318","02/03/2021 18",24
"319","02/03/2021 19",30
"320","02/03/2021 20",37
"321","02/03/2021 21",16
"322","02/03/2021 22",13
"323","02/03/2021 23",27
"324","02/03/2021 24",39
"325","02/04/2021 04",14
"326","02/04/2021 05",14
"327","02/04/2021 06",16
"328","02/04/2021 07",19
"329","02/04/2021 08",21
"330","02/04/2021 09",16
"331","02/04/2021 10",14
"332","02/04/2021 11",12
"333","02/04/2021 12",10
"334","02/04/2021 13",8
"335","02/04/2021 14",8
"336","02/04/2021 15",7
"337","02/04/2021 16",7
"338","02/04/2021 17",8
"339","02/04/2021 18",9
"340","02/04/2021 19",11
"341","02/04/2021 20",15
"342","02/04/2021 21",13
"343","02/04/2021 22",13
"344","02/04/2021 23",14
"345","02/04/2021 24",15
"346","02/05/2021 04",7
"347","02/05/2021 05",13
"348","02/05/2021 06",24
"349","02/05/2021 07",32
"350","02/05/2021 08",29
"351","02/05/2021 09",29
"352","02/05/2021 10",25
"353","02/05/2021 11",23
"354","02/05/2021 12",15
"355","02/05/2021 13",14
"356","02/05/2021 14",11
"357","02/05/2021 15",13
"358","02/05/2021 16",14
"359","02/05/2021 17",15
"360","02/05/2021 18",19
"361","02/05/2021 19",18
"362","02/05/2021 20",15
"363","02/05/2021 21",17
"364","02/05/2021 22",14
"365","02/05/2021 23",20
"366","02/05/2021 24",28
"367","02/06/2021 01",10
"368","02/06/2021 02",11
"369","02/06/2021 03",14
"370","02/06/2021 04",12
"371","02/06/2021 05",19
"372","02/06/2021 06",26
"373","02/06/2021 07",27
"374","02/06/2021 08",24
"375","02/06/2021 09",21
"376","02/06/2021 10",23
"377","02/06/2021 11",26
"378","02/06/2021 12",24
"379","02/06/2021 13",16
"380","02/06/2021 14",24
"381","02/06/2021 15",35
"382","02/06/2021 16",44
"383","02/06/2021 17",45
"384","02/06/2021 18",34
"385","02/06/2021 19",30
"386","02/06/2021 20",24
"387","02/06/2021 21",28
"388","02/06/2021 22",31
"389","02/06/2021 23",27
"390","02/06/2021 24",25
"391","02/08/2021 01",35
"392","02/08/2021 02",38
"393","02/08/2021 03",40
"394","02/08/2021 04",35
"395","02/08/2021 05",32
"396","02/08/2021 06",33
"397","02/08/2021 07",29
"398","02/08/2021 08",29
"399","02/08/2021 09",30
"400","02/08/2021 10",35
"401","02/08/2021 11",39
"402","02/08/2021 12",29
"403","02/08/2021 13",29
"404","02/08/2021 14",24
"405","02/08/2021 15",18
"406","02/08/2021 16",22
"407","02/08/2021 17",19
"408","02/08/2021 18",16
"409","02/08/2021 19",18
"410","02/08/2021 20",14
"411","02/08/2021 21",11
"412","02/08/2021 22",10
"413","02/08/2021 23",13
"414","02/08/2021 24",13
"415","02/09/2021 01",22
"416","02/09/2021 02",15
"417","02/09/2021 03",15
"418","02/09/2021 04",18
"419","02/09/2021 05",32
