"","FECHA","HORA","CO","CO2","NO","NO2","NOX","O3"
"1","01/01/2021",1,0.62,3,4,36,39,7
"2","01/01/2021",2,0.7,3,11,38,49,4
"3","01/01/2021",3,0.95,2,20,40,60,1
"4","01/01/2021",4,0.98,2,28,38,66,2
"5","01/01/2021",5,0.91,2,11,35,46,4
"6","01/01/2021",6,0.71,1,9,31,40,3
"7","01/01/2021",7,0.61,1,6,28,33,6
"8","01/01/2021",8,0.51,1,10,27,37,6
"9","01/01/2021",9,0.43,1,12,23,35,15
"10","01/01/2021",10,0.28,2,5,15,19,33
"11","01/01/2021",11,0.17,1,3,12,15,46
"12","01/01/2021",12,0.19,1,2,12,14,57
"13","01/01/2021",13,0.21,1,1,12,13,71
"14","01/01/2021",14,0.11,1,1,8,9,64
"15","01/01/2021",15,0.07,1,1,7,8,57
"16","01/01/2021",16,0.04,1,1,6,7,49
"17","01/01/2021",17,0.01,1,1,4,5,45
"18","01/01/2021",18,0,1,0,5,5,43
"19","01/01/2021",19,0.14,1,0,16,17,33
"20","01/01/2021",20,0.28,1,1,25,26,34
"21","01/01/2021",21,0.43,1,3,34,37,25
"22","01/01/2021",22,0.57,1,8,38,46,14
"23","01/01/2021",23,0.82,2,24,48,73,2
"28","02/01/2021",4,0.35,1,3,31,34,11
"29","02/01/2021",5,0.24,1,0,20,20,20
"30","02/01/2021",6,0.37,1,12,32,44,7
"31","02/01/2021",7,0.52,1,26,34,60,1
"32","02/01/2021",8,0.72,1,52,35,88,2
"33","02/01/2021",9,0.58,2,22,34,56,15
"34","02/01/2021",10,0.6,3,24,38,62,21
"35","02/01/2021",11,0.6,2,19,40,59,32
"36","02/01/2021",12,0.44,2,10,33,43,51
"37","02/01/2021",13,0.42,3,14,38,52,43
"38","02/01/2021",14,0.29,2,6,23,29,54
"39","02/01/2021",15,0.36,1,3,23,26,72
"40","02/01/2021",16,0.36,1,2,22,24,79
"41","02/01/2021",17,0.33,1,1,22,23,88
"42","02/01/2021",18,0.44,1,1,29,30,63
"43","02/01/2021",19,0.66,2,6,47,54,31
"44","02/01/2021",20,0.54,1,6,41,47,28
"45","02/01/2021",21,0.27,1,2,22,24,33
"46","02/01/2021",22,0.32,1,1,24,26,30
"47","02/01/2021",23,0.48,1,9,31,40,21
"48","02/01/2021",24,0.78,3,25,47,72,5
"49","03/01/2021",1,0.64,2,10,45,55,5
"50","03/01/2021",2,0.5,1,8,40,48,11
"51","03/01/2021",3,0.64,1,19,44,63,4
"52","03/01/2021",4,0.69,2,29,46,75,1
"53","03/01/2021",5,0.64,1,21,44,65,2
"54","03/01/2021",6,0.59,2,19,42,61,3
"55","03/01/2021",7,1.09,2,73,44,117,1
"56","03/01/2021",8,1.28,3,95,44,139,1
"57","03/01/2021",9,1.65,5,123,47,170,3
"58","03/01/2021",10,0.83,3,34,45,78,18
"59","03/01/2021",11,0.44,2,10,29,39,39
